Título de trazado: Iner.sumideros.meteo							
N.º	Fecha Tiempo, GMT-05:00	Temp, °C (LGR S/N: 10450278, SEN S/N: 10431781, LBL: AmbTemp)	HR, % (LGR S/N: 10450278, SEN S/N: 10431781, LBL: AmbHR)	Lluvia, mm (LGR S/N: 10450278, SEN S/N: 10440752, LBL: Lluvia)	Dirección del viento, ø (LGR S/N: 10450278, SEN S/N: 10468828, LBL: Direccion del viento)	Velocidad del viento, m/s (LGR S/N: 10450278, SEN S/N: 10470750, LBL: Velocidad del viento)	Velocidad de Ráfagas, m/s (LGR S/N: 10450278, SEN S/N: 10470750, LBL: Velocidad de rafagas)
1	03/23/17 10:21:40 AM	30.672	71.400		130.6	1.26	1.76
2	03/23/17 10:31:40 AM	31.001	72.000	0.00	161.5	0.76	3.02
3	03/23/17 10:41:40 AM	31.331	70.800	0.00	175.5	0.50	2.01
4	03/23/17 10:51:40 AM	31.816	70.600	0.00	203.6	0.76	2.52
5	03/23/17 11:01:40 AM	32.639	70.300	0.00	193.7	0.25	2.01
6	03/23/17 11:11:40 AM	31.586	68.900	0.00	185.3	0.50	2.52
7	03/23/17 11:21:40 AM	31.816	69.100	0.00	183.9	0.76	2.77
8	03/23/17 11:31:40 AM	32.253	70.000	0.00	175.5	0.76	2.52
9	03/23/17 11:41:40 AM	31.331	70.000	0.00	172.7	1.01	3.27
10	03/23/17 11:51:40 AM	30.672	74.000	0.00	164.3	1.26	3.53
11	03/23/17 12:01:40 PM	31.077	73.600	0.00	199.4	1.51	5.04
12	03/23/17 12:11:40 PM	31.331	72.100	0.00	193.7	1.51	4.28
13	03/23/17 12:21:40 PM	30.596	74.000	0.00	186.7	1.76	5.54
14	03/23/17 12:31:40 PM	30.900	75.700	0.00	193.7	1.76	6.04
15	03/23/17 12:41:40 PM	30.798	75.100	0.00	205.0	2.27	5.29
16	03/23/17 12:51:40 PM	30.748	74.500	0.00	172.7	1.76	5.79
17	03/23/17 01:01:40 PM	30.849	74.000	0.00	206.4	2.27	6.55
18	03/23/17 01:11:40 PM	30.293	73.700	0.00	205.0	2.52	8.56
19	03/23/17 01:21:40 PM	30.976	73.200	0.00	193.7	2.52	6.30
20	03/23/17 01:31:40 PM	31.026	72.100	0.00	172.7	2.27	6.30
21	03/23/17 01:41:40 PM	31.179	71.100	0.00	202.2	2.01	6.80
22	03/23/17 01:51:40 PM	31.230	70.500	0.00	188.1	2.27	7.05
23	03/23/17 02:01:40 PM	31.306	70.200	0.00	183.9	2.01	5.79
24	03/23/17 02:11:40 PM	30.596	70.200	0.00	203.6	2.27	5.79
25	03/23/17 02:21:40 PM	31.331	70.400	0.00	192.3	2.01	5.79
26	03/23/17 02:31:40 PM	31.561	70.000	0.00	195.1	2.01	6.30
27	03/23/17 02:41:40 PM	31.637	69.900	0.00	189.5	2.01	5.79
28	03/23/17 02:51:40 PM	31.816	69.400	0.00	192.3	1.51	5.29
29	03/23/17 03:01:40 PM	31.996	70.000	0.00	162.9	1.51	4.78
30	03/23/17 03:11:40 PM	32.510	69.900	0.00	137.6	1.01	3.27
31	03/23/17 03:21:40 PM	32.381	69.200	0.00	196.5	1.51	4.28
32	03/23/17 03:31:40 PM	32.433	69.600	0.00	205.0	1.01	3.53
33	03/23/17 03:41:40 PM	32.458	69.700	0.00	171.3	1.26	4.28
34	03/23/17 03:51:40 PM	32.098	70.600	0.00	161.5	1.51	4.78
35	03/23/17 04:01:40 PM	31.842	70.300	0.00	141.8	1.01	3.78
36	03/23/17 04:11:40 PM	32.047	71.000	0.00	146.0	1.51	4.28
37	03/23/17 04:21:40 PM	32.665	69.700	0.00	186.7	1.51	3.78
38	03/23/17 04:31:40 PM	32.587	68.100	0.00	165.7	1.51	5.04
39	03/23/17 04:41:40 PM	32.124	69.200	0.00	199.4	1.76	4.78
40	03/23/17 04:51:40 PM	32.227	69.200	0.00	148.8	1.51	4.03
41	03/23/17 05:01:40 PM	31.535	69.300	0.00	140.4	1.51	4.28
42	03/23/17 05:11:40 PM	30.697	72.000	0.00	174.1	1.51	4.28
43	03/23/17 05:21:40 PM	30.722	74.000	0.00	150.2	1.26	4.28
44	03/23/17 05:31:40 PM	30.596	74.300	0.00	160.0	1.26	4.53
45	03/23/17 05:41:40 PM	29.916	74.500	0.00	183.9	1.51	5.04
46	03/23/17 05:51:40 PM	29.815	75.100	0.00	144.6	1.26	3.02
47	03/23/17 06:01:40 PM	29.290	75.900	0.00	154.4	1.26	3.78
48	03/23/17 06:11:40 PM	28.965	78.200	0.00	157.2	1.51	5.29
49	03/23/17 06:21:40 PM	28.866	79.900	0.00	140.4	1.01	4.53
50	03/23/17 06:31:40 PM	28.742	80.600	0.00	143.2	0.76	4.03
51	03/23/17 06:41:40 PM	28.493	81.300	0.00	148.8	1.01	3.78
52	03/23/17 06:51:40 PM	28.196	83.100	0.00	158.6	0.76	3.27
53	03/23/17 07:01:40 PM	27.949	85.100	0.00	181.1	0.76	3.02
54	03/23/17 07:11:40 PM	28.122	85.800	0.00	158.6	0.50	2.01
55	03/23/17 07:21:40 PM	27.875	86.400	0.00	140.4	0.50	3.02
56	03/23/17 07:31:40 PM	27.628	87.000	0.00	137.6	0.25	2.52
57	03/23/17 07:41:40 PM	27.579	87.500	0.00	130.6	0.25	2.27
58	03/23/17 07:51:40 PM	27.431	87.300	0.00	134.8	0.50	3.78
59	03/23/17 08:01:40 PM	27.456	87.200	0.00	157.2	0.25	2.27
60	03/23/17 08:11:40 PM	27.382	87.400	0.00	146.0	0.25	1.76
61	03/23/17 08:21:40 PM	27.308	87.500	0.00	154.4	0.25	3.53
62	03/23/17 08:31:40 PM	27.284	87.700	0.00	146.0	0.25	1.76
